-8265	-167	-48	-47	186	-38	228	-247	15
-14653	-170	-51	-47	183	-40	227	-254	15
433	-167	-48	-46	184	-37	229	-251	31
5122	-175	-57	-52	183	-39	225	-249	31
-14609	-165	-51	-47	184	-41	227	-253	31
1025	-168	-52	-46	182	-41	227	-252	47
1776	-165	-49	-44	181	-36	224	-249	47
-15759	-166	-51	-48	184	-44	226	-248	62
972	-170	-54	-50	178	-40	226	-253	62
-423	-167	-48	-46	182	-44	231	-250	93
-11915	-170	-56	-49	184	-43	226	-248	93
1145	-169	-52	-47	180	-40	225	-253	109
-4870	-171	-54	-52	182	-42	226	-251	109
-12743	-165	-53	-52	185	-40	225	-250	125
-771	-170	-55	-50	181	-41	222	-251	125
-1412	-170	-56	-50	181	-40	224	-252	140
-1554	-169	-53	-49	183	-41	226	-250	140
-11882	-177	-55	-49	182	-41	224	-252	156
68	-167	-49	-45	184	-38	228	-247	156
32764	-175	-54	-49	178	-44	224	-249	171
49	-166	-51	-46	185	-42	226	-248	171
333	-172	-53	-55	177	-43	224	-255	187
-7075	-165	-51	-48	184	-40	227	-252	187
-8573	-172	-59	-56	180	-42	223	-247	203
-10633	-168	-51	-47	185	-39	225	-249	203
10680	-170	-55	-47	182	-41	226	-256	218
-16421	-173	-54	-49	183	-40	222	-253	218
166	-172	-53	-48	180	-39	226	-256	234
-11637	-170	-52	-45	185	-39	230	-247	234
549	-166	-53	-48	183	-40	225	-257	249
-14842	-172	-55	-48	180	-46	224	-256	249
-4677	-166	-56	-50	183	-41	223	-252	265
1426	-170	-52	-48	182	-46	223	-249	265
-562	-169	-52	-46	183	-47	227	-248	265
1821	-169	-53	-49	180	-43	224	-253	281
123	-171	-54	-47	179	-45	226	-252	312
945	-171	-53	-47	178	-35	227	-252	327
752	-167	-52	-48	182	-44	225	-252	327
7847	-172	-55	-48	181	-40	226	-251	343
-7789	-163	-50	-51	181	-38	227	-250	343
24685	-170	-51	-50	181	-40	224	-251	359
2300	-166	-52	-50	184	-38	226	-249	359
1799	-171	-56	-50	180	-42	226	-251	374
-75	-170	-51	-46	183	-40	230	-253	374
-13303	-172	-54	-50	181	-43	227	-256	374
22499	-168	-52	-47	182	-41	224	-249	390
-1262	-168	-50	-44	181	-40	229	-250	405
-16777	-171	-56	-51	180	-44	226	-255	405
1503	-169	-49	-44	180	-43	228	-254	405
-6557	-174	-56	-46	177	-45	227	-250	421
-12087	-167	-49	-45	185	-37	225	-245	421
460	-167	-50	-46	184	-48	227	-256	437
-12783	-168	-54	-50	183	-39	225	-250	437
356	-169	-50	-46	183	-39	229	-253	437
