-32768	32767	32767	32767	32767	32767	32767	32767	0
-16313	-170	-45	-46	183	-35	227	-253	62
-2213	-170	-49	-45	182	-40	226	-251	78
-15472	-177	-50	-49	178	-45	224	-251	78
32764	-168	-52	-51	182	-38	227	-255	94
-7183	-168	-47	-44	183	-42	229	-253	109
-15186	-170	-47	-46	179	-38	227	-253	125
-1750	-174	-51	-46	174	-40	224	-256	125
-5203	-170	-46	-54	183	-37	227	-250	140
-10281	-171	-48	-49	178	-36	224	-250	156
-11716	-170	-45	-46	181	-38	229	-248	156
-8230	-174	-54	-50	178	-45	224	-251	172
31905	-167	-49	-51	182	-41	227	-248	172
-12749	-173	-53	-50	172	-41	226	-254	187
-15407	-166	-48	-48	182	-34	227	-251	187
-6490	-168	-47	-55	181	-39	227	-255	234
-3787	-169	-48	-48	182	-38	228	-253	234
20815	-171	-47	-49	177	-40	224	-253	265
-5393	-175	-51	-50	180	-39	225	-251	281
-13867	-172	-45	-47	181	-38	227	-248	312
-4403	-172	-45	-47	182	-38	228	-249	328
20512	-168	-49	-50	180	-42	226	-249	374
32764	-169	-45	-46	183	-38	228	-259	374
30439	-171	-48	-51	179	-39	223	-249	406
-14090	-167	-47	-52	184	-36	229	-248	421
-767	-172	-52	-49	180	-39	226	-252	437
-10312	-168	-50	-49	184	-39	225	-254	452
-10250	-173	-52	-50	179	-41	225	-259	468
26936	-172	-52	-48	181	-42	227	-251	484
-6574	-171	-45	-48	181	-35	226	-251	484
32764	-171	-50	-49	181	-41	225	-255	530
-16121	-171	-50	-50	178	-39	224	-249	546
20996	-167	-49	-49	185	-34	226	-250	562
-16364	-168	-51	-50	181	-37	229	-250	562
-3283	-167	-44	-45	181	-39	228	-252	593
-14046	-172	-48	-51	177	-39	226	-251	608
-15052	-167	-49	-49	184	-35	227	-251	640
-13482	-173	-51	-50	180	-41	226	-256	640
-14438	-169	-47	-51	180	-41	228	-249	655
-10827	-173	-50	-50	178	-39	227	-251	671
-1864	-175	-50	-44	183	-36	225	-249	671
-13047	-171	-47	-45	181	-37	228	-251	686
32764	-172	-50	-52	180	-40	227	-251	702
-967	-169	-48	-48	180	-37	223	-254	733
-11879	-174	-52	-47	178	-40	225	-253	733
32764	-170	-47	-44	183	-43	229	-248	749
32764	-170	-48	-45	180	-38	228	-251	811
-11285	-178	-50	-55	182	-42	224	-251	811
-12339	-167	-47	-44	183	-38	229	-254	827
-10109	-170	-46	-46	180	-36	229	-253	842
-13349	-166	-47	-44	182	-34	228	-252	858
-15820	-171	-49	-53	176	-34	227	-252	889
-2305	-167	-48	-48	179	-39	229	-255	889
18597	-173	-51	-53	178	-38	228	-254	889
-11519	-176	-51	-50	179	-37	226	-254	952
-4806	-167	-47	-47	178	-37	225	-251	967
-10533	-172	-47	-47	184	-37	229	-253	983
-4143	-170	-49	-54	182	-41	228	-251	1014
-10941	-171	-50	-49	179	-35	225	-256	1061
-12344	-166	-47	-48	183	-36	228	-261	1092
32764	-169	-50	-55	181	-37	226	-250	1092
-8596	-171	-50	-49	179	-40	226	-253	1170
-14851	-170	-45	-48	181	-35	227	-251	1217
-1269	-169	-49	-48	182	-34	229	-250	1232
-7529	-172	-48	-50	179	-39	226	-252	1248
-15198	-172	-49	-50	181	-37	225	-254	1279
-7631	-167	-48	-52	181	-41	227	-253	1279
-12180	-166	-47	-49	181	-38	226	-251	1310
-15253	-172	-48	-52	177	-42	224	-251	1310
-10053	-169	-51	-49	179	-37	225	-255	1326
-11112	-165	-45	-49	182	-36	227	-255	1342
-11908	-167	-46	-46	181	-37	226	-251	1373
-2752	-167	-47	-48	179	-36	224	-252	1388
-8096	-171	-50	-49	178	-37	223	-258	1404
-13027	-171	-47	-54	179	-36	225	-251	1420
-2591	-165	-47	-49	181	-36	229	-254	1451
-11242	-170	-51	-52	176	-38	228	-251	1466
-6151	-169	-53	-49	180	-45	227	-255	1482
-548	-168	-47	-50	180	-37	226	-249	1498
-11698	-171	-52	-57	180	-40	223	-250	1498
-5790	-173	-46	-52	181	-35	227	-252	1513
-12670	-172	-56	-56	179	-38	223	-252	1513
-13143	-166	-50	-48	181	-37	227	-251	1529
-4934	-166	-48	-47	183	-36	229	-249	1544
-12552	-171	-54	-57	178	-39	225	-257	1544
-14906	-169	-56	-50	179	-45	222	-257	1560
27926	-171	-49	-51	181	-35	225	-251	1576
-5479	-170	-46	-45	180	-37	227	-250	1607
-11372	-169	-51	-52	180	-38	227	-251	1607
-16063	-169	-49	-48	182	-36	227	-255	1622
29649	-171	-48	-55	180	-37	223	-255	1654
-11659	-168	-50	-49	181	-37	226	-257	1654
17473	-172	-54	-49	180	-40	226	-254	1669
-12621	-167	-48	-53	183	-37	227	-251	1669
20345	-169	-53	-54	178	-38	226	-252	1685
-16147	-165	-47	-49	184	-35	228	-253	1685
-16360	-166	-50	-51	182	-42	227	-250	1700
-10055	-168	-48	-48	180	-36	228	-252	1700
-15949	-167	-46	-47	180	-37	227	-248	1716
-12631	-169	-55	-48	177	-42	227	-259	1732
-9983	-170	-45	-49	182	-38	227	-253	1747
-13832	-169	-50	-50	179	-36	230	-251	1747
-12734	-164	-47	-46	178	-40	227	-255	1763
-16237	-172	-53	-50	180	-35	224	-252	1825
-15988	-164	-46	-52	182	-35	229	-254	1856
-15161	-171	-46	-44	180	-37	224	-255	1872
-3837	-166	-46	-45	184	-37	228	-254	1903
-3536	-166	-49	-50	182	-36	226	-250	1919
-15320	-167	-46	-45	182	-38	229	-250	1966
23521	-172	-54	-45	179	-41	225	-251	1981
-7546	-169	-50	-51	181	-39	228	-250	1997
-10388	-165	-48	-48	180	-34	227	-253	2012
-16017	-167	-51	-51	181	-41	228	-252	2028
-12752	-168	-53	-56	180	-40	227	-254	2044
-14699	-166	-46	-48	180	-35	224	-249	2075
-2168	-169	-50	-57	181	-39	225	-260	2075
-6106	-169	-47	-53	183	-39	227	-248	2090
-14717	-165	-46	-44	183	-35	229	-256	2137
-11362	-169	-56	-51	179	-36	227	-253	2168
-11909	-174	-47	-47	180	-41	226	-255	2184
32764	-166	-47	-47	180	-41	228	-250	2184
-8244	-176	-51	-48	180	-36	224	-256	2200
-14969	-171	-50	-47	182	-36	224	-252	2215
-14542	-165	-47	-44	181	-38	229	-249	2231
19164	-168	-47	-52	182	-35	224	-250	2231
-7889	-169	-52	-47	182	-36	222	-252	2278
-14422	-171	-52	-46	181	-33	228	-255	2278
-15742	-168	-48	-48	182	-36	225	-250	2309
-9007	-165	-46	-47	183	-35	228	-248	2324
23936	-174	-49	-53	178	-39	224	-252	2324
-10870	-170	-48	-46	181	-36	230	-257	2340
21715	-167	-50	-51	181	-36	227	-258	2356
-11844	-169	-51	-51	180	-37	227	-251	2371
-15775	-165	-46	-50	180	-33	227	-251	2418
-11614	-175	-53	-52	178	-51	224	-255	2449
29926	-169	-52	-50	179	-38	226	-253	2449
27131	-169	-50	-51	180	-40	225	-253	2465
-7556	-166	-49	-46	182	-42	227	-252	2465
-7624	-174	-51	-50	180	-41	227	-252	2480
20366	-169	-51	-46	183	-38	228	-253	2496
-5152	-172	-50	-51	179	-37	226	-255	2512
-12215	-170	-54	-53	178	-39	228	-257	2543
-14251	-172	-49	-49	180	-37	227	-252	2558
24420	-167	-48	-49	181	-35	227	-254	2558
-3340	-167	-48	-46	180	-36	226	-254	2590
-4028	-171	-50	-54	180	-37	224	-252	2590
-9553	-170	-54	-49	181	-34	227	-252	2621
-15256	-168	-51	-48	181	-35	223	-257	2636
-14486	-178	-50	-51	178	-36	226	-259	2652
22089	-168	-51	-52	182	-36	228	-254	2652
-13700	-170	-49	-53	181	-39	226	-250	2668
-9055	-168	-49	-50	183	-38	223	-256	2668
-15842	-169	-49	-55	181	-36	226	-253	2699
-3411	-173	-52	-51	177	-40	225	-253	2699
-16509	-170	-49	-45	182	-40	226	-253	2730
-13036	-169	-49	-51	179	-44	225	-249	2746
-12791	-165	-50	-42	183	-35	226	-249	2761
21205	-172	-51	-49	180	-39	226	-255	2761
-7363	-166	-51	-51	184	-39	228	-250	2792
-11008	-169	-50	-50	181	-37	227	-252	2792
-5765	-178	-48	-49	182	-35	225	-251	2808
-10531	-173	-49	-52	181	-35	226	-250	2824
-16433	-172	-52	-49	181	-38	227	-252	2839
-11190	-169	-49	-47	179	-44	225	-254	2902
-11230	-168	-51	-47	183	-37	229	-247	2902
-10306	-174	-48	-49	179	-45	227	-253	2933
-13099	-173	-53	-49	176	-39	226	-255	2964
-16415	-168	-47	-47	185	-36	228	-254	2980
-3474	-173	-50	-49	177	-38	229	-251	2980
-5731	-173	-49	-50	182	-37	225	-254	2980
-13096	-170	-50	-48	180	-37	227	-250	2995
-14200	-175	-49	-51	181	-40	227	-254	2995
23814	-172	-49	-48	180	-38	225	-251	3026
-7321	-169	-52	-53	179	-39	228	-251	3042
-2120	-168	-50	-51	181	-34	229	-248	3058
22007	-171	-50	-53	178	-38	225	-249	3058
21503	-169	-51	-49	182	-37	227	-251	3089
-15007	-166	-47	-44	181	-42	227	-251	3089
-7362	-170	-51	-46	182	-35	227	-253	3104
-5743	-165	-50	-49	182	-38	226	-254	3136
32764	-168	-50	-50	182	-35	226	-250	3182
-4881	-171	-46	-49	184	-34	227	-248	3198
-16359	-166	-46	-48	182	-42	229	-250	3214
-12235	-172	-47	-44	182	-38	227	-250	3260
-16087	-172	-49	-48	181	-38	226	-251	3260
