-6994	-172	-60	-47	181	-45	226	-253	0
845	-175	-54	-46	183	-37	228	-251	16
1616	-171	-55	-52	182	-41	229	-250	16
10455	-172	-51	-46	183	-38	224	-248	31
19180	-166	-50	-48	180	-40	224	-253	31
-134	-174	-52	-46	180	-39	226	-249	47
-292	-162	-50	-44	185	-37	230	-248	47
-14027	-168	-55	-49	183	-39	226	-258	63
911	-162	-51	-49	182	-40	228	-251	63
-15782	-171	-54	-48	178	-38	225	-254	63
359	-165	-56	-46	182	-43	228	-251	78
-7800	-168	-55	-47	180	-38	224	-253	94
-13984	-164	-55	-45	183	-42	227	-257	94
608	-169	-56	-47	177	-42	226	-253	109
2262	-168	-50	-47	182	-36	227	-250	109
-8784	-167	-50	-51	179	-38	225	-248	125
1458	-170	-52	-45	181	-39	227	-252	125
-851	-168	-50	-46	182	-37	227	-255	125
2466	-170	-55	-44	182	-35	226	-253	141
-7298	-173	-49	-45	183	-40	228	-252	141
-15127	-167	-51	-49	183	-36	226	-251	156
8281	-168	-56	-46	180	-40	227	-255	172
-5098	-172	-54	-49	180	-37	226	-252	187
-9441	-165	-50	-49	183	-37	228	-254	203
-6280	-171	-55	-49	179	-40	227	-252	203
-1	-164	-51	-48	186	-41	226	-249	203
-2495	-174	-52	-45	180	-42	228	-256	219
2011	-170	-54	-48	181	-42	227	-248	219
290	-165	-51	-42	183	-38	229	-251	234
-9189	-171	-54	-46	179	-39	229	-255	234
1972	-168	-51	-48	179	-39	225	-251	250
332	-172	-56	-47	179	-40	226	-254	250
14709	-171	-53	-45	183	-37	228	-254	265
-11251	-173	-55	-51	182	-39	225	-253	265
-12975	-168	-49	-46	181	-39	227	-250	281
-15276	-173	-54	-53	180	-45	224	-250	281
3880	-169	-50	-44	185	-39	225	-254	297
-9919	-174	-55	-49	179	-41	223	-252	297
-10670	-165	-50	-48	183	-36	230	-250	312
23772	-167	-52	-49	183	-37	223	-248	312
1413	-172	-51	-50	182	-38	225	-248	328
6378	-168	-52	-51	177	-40	226	-252	328
497	-165	-50	-47	183	-39	226	-253	343
6800	-166	-51	-44	183	-43	229	-249	343
-9308	-176	-58	-50	181	-46	225	-256	359
-15405	-162	-55	-48	186	-43	229	-250	359
-10003	-176	-54	-50	182	-39	228	-249	375
-122	-169	-53	-49	179	-42	227	-253	390
-10921	-168	-50	-48	183	-35	229	-256	390
-746	-168	-52	-46	180	-42	224	-252	406
947	-170	-55	-44	179	-40	227	-250	406
-15285	-172	-54	-48	182	-41	227	-252	421
1244	-167	-53	-45	181	-38	229	-251	421
-8922	-167	-55	-48	181	-43	227	-258	437
294	-171	-52	-50	177	-39	227	-251	437
775	-169	-52	-43	184	-39	228	-251	453
-6191	-181	-50	-48	183	-39	224	-259	453
-5701	-170	-59	-50	180	-44	227	-253	468
-3539	-173	-53	-48	181	-47	224	-252	484
29	-167	-52	-44	181	-38	221	-247	499
585	-172	-54	-51	181	-45	226	-254	499
-10653	-164	-51	-49	182	-41	228	-250	515
757	-170	-54	-44	182	-44	229	-253	515
-16633	-167	-56	-46	178	-40	227	-251	531
310	-169	-52	-47	183	-42	229	-251	531
-482	-172	-50	-43	183	-41	229	-252	546
542	-166	-54	-45	181	-38	228	-252	546
553	-167	-53	-48	183	-40	228	-251	562
-15904	-171	-53	-52	179	-44	225	-255	577
-13563	-171	-51	-44	182	-40	229	-249	577
-16559	-170	-52	-50	178	-43	227	-251	577
-10410	-167	-52	-45	184	-40	229	-250	593
-15208	-174	-53	-54	182	-41	224	-259	609
-1055	-164	-57	-43	183	-42	228	-252	609
-1341	-171	-58	-51	180	-41	228	-248	624
-3	-175	-59	-51	177	-43	226	-252	640
731	-167	-52	-45	185	-40	227	-253	640
-13545	-175	-55	-46	179	-43	226	-257	655
-286	-167	-53	-44	180	-44	229	-252	655
112	-170	-53	-44	182	-43	229	-250	671
-678	-171	-52	-47	180	-40	228	-252	671
-691	-167	-55	-49	186	-39	223	-249	687
-16502	-171	-54	-48	182	-38	228	-252	687
-13490	-166	-53	-44	183	-38	227	-249	687
-16125	-165	-51	-47	184	-43	222	-247	702
-6015	-167	-51	-45	180	-44	228	-253	718
-4650	-169	-54	-50	181	-43	226	-253	718
-140	-167	-54	-49	182	-42	228	-251	733
-10458	-169	-53	-49	182	-45	226	-252	733
-4203	-173	-52	-46	182	-40	230	-259	749
-14266	-176	-53	-52	183	-44	226	-251	749
-210	-168	-56	-48	183	-41	227	-252	765
-7965	-174	-52	-48	183	-38	225	-251	765
-9332	-167	-51	-46	185	-37	227	-251	780
-9085	-170	-52	-52	179	-39	227	-250	780
-8532	-171	-55	-45	181	-42	225	-251	796
-14515	-163	-51	-47	181	-39	229	-250	811
-12527	-168	-54	-51	180	-45	227	-254	811
-2508	-168	-52	-44	181	-43	226	-252	827
-10357	-166	-53	-47	182	-37	226	-250	827
-10734	-172	-56	-49	181	-46	227	-254	843
366	-166	-49	-46	184	-41	229	-247	843
-15608	-169	-55	-48	182	-40	228	-249	858
942	-166	-51	-46	185	-41	229	-253	858
